,MouseId,Treatment,AP_coordinate_neg,CeLf,CeCfd,CeCfv,CeCc,CeLc,CeM
0,Mouse 1,Haloperidol,1.06,17.0,0.0,0.0,,,1.0
1,Mouse 1,Haloperidol,1.06,8.0,0.0,0.0,,,1.0
2,Mouse 1,Haloperidol,0.94,21.0,1.0,0.0,,,1.0
3,Mouse 1,Haloperidol,0.94,6.0,2.0,0.0,,,1.0
4,Mouse 1,Haloperidol,1.46,,,,0.0,2.0,0.0
5,Mouse 1,Haloperidol,1.58,,,,1.0,6.0,0.0
6,Mouse 1,Haloperidol,1.34,,,,0.0,1.0,0.0
7,Mouse 1,Haloperidol,1.34,,,,0.0,2.0,0.0
30,Mouse 2,Quinpirole,0.94,1.0,0.0,1.0,,,4.0
31,Mouse 2,Quinpirole,0.94,2.0,1.0,0.0,,,1.0
32,Mouse 2,Quinpirole,1.06,0.0,1.0,4.0,,,1.0
33,Mouse 2,Quinpirole,1.06,0.0,2.0,0.0,,,5.0
34,Mouse 2,Quinpirole,1.34,,,,10.0,22.0,3.0
35,Mouse 2,Quinpirole,1.22,,,,,,
36,Mouse 2,Quinpirole,1.46,,,,12.0,15.0,1.0
37,Mouse 2,Quinpirole,1.58,,,,11.0,29.0,3.0
45,Mouse 3,Quinpirole,0.94,0.0,0.0,1.0,,,1.0
46,Mouse 3,Quinpirole,0.94,0.0,0.0,0.0,,,0.0
47,Mouse 3,Quinpirole,1.06,0.0,1.0,2.0,,,0.0
48,Mouse 3,Quinpirole,1.06,0.0,1.0,1.0,,,8.0
49,Mouse 3,Quinpirole,1.58,,,,8.0,59.0,5.0
50,Mouse 3,Quinpirole,1.58,,,,10.0,15.0,4.0
51,Mouse 3,Quinpirole,1.46,,,,10.0,30.0,1.0
52,Mouse 3,Quinpirole,1.46,,,,8.0,20.0,2.0
53,Mouse 4,Vehicle,0.94,0.0,0.0,0.0,,,4.0
54,Mouse 4,Vehicle,1.06,0.0,0.0,1.0,,,2.0
55,Mouse 4,Vehicle,1.06,3.0,0.0,0.0,,,10.0
56,Mouse 4,Vehicle,1.34,,,,2.0,1.0,2.0
57,Mouse 4,Vehicle,1.46,,,,0.0,0.0,2.0
58,Mouse 4,Vehicle,1.46,,,,0.0,0.0,3.0
59,Mouse 4,Vehicle,1.58,,,,,,
69,Mouse 5,SKF,0.94,1.0,9.0,9.0,,,20.0
70,Mouse 5,SKF,1.06,5.0,18.0,23.0,,,5.0
71,Mouse 5,SKF,0.82,2.0,5.0,7.0,,,2.0
72,Mouse 5,SKF,1.58,,,,1.0,7.0,1.0
73,Mouse 5,SKF,1.58,,,,2.0,10.0,9.0
74,Mouse 5,SKF,1.58,,,,,,
78,Mouse 6,Haloperidol,0.82,16.0,0.0,1.0,,,1.0
79,Mouse 6,Haloperidol,0.82,7.0,0.0,0.0,,,0.0
80,Mouse 6,Haloperidol,1.06,9.0,2.0,0.0,,,0.0
81,Mouse 6,Haloperidol,1.06,,,,,,
82,Mouse 6,Haloperidol,1.46,,,,0.0,1.0,1.0
83,Mouse 6,Haloperidol,1.34,,,,,,
84,Mouse 7,Quinpirole,1.06,0.0,0.0,0.0,,,2.0
85,Mouse 7,Quinpirole,0.82,0.0,0.0,0.0,,,1.0
86,Mouse 7,Quinpirole,1.06,3.0,7.0,2.0,,,2.0
87,Mouse 7,Quinpirole,1.58,,,,2.0,22.0,0.0
96,Mouse 8,Vehicle,0.94,0.0,0.0,0.0,,,2.0
97,Mouse 8,Vehicle,0.94,0.0,0.0,0.0,,,0.0
98,Mouse 8,Vehicle,1.06,1.0,0.0,0.0,,,1.0
99,Mouse 8,Vehicle,1.06,2.0,0.0,0.0,,,5.0
100,Mouse 8,Vehicle,1.34,,,,0.0,0.0,0.0
101,Mouse 8,Vehicle,1.34,,,,0.0,0.0,2.0
102,Mouse 8,Vehicle,1.58,,,,0.0,0.0,0.0
103,Mouse 8,Vehicle,1.58,,,,,,
113,Mouse 9,SKF,0.82,0.0,8.0,3.0,,,5.0
114,Mouse 9,SKF,1.06,0.0,3.0,14.0,,,3.0
115,Mouse 9,SKF,1.06,1.0,4.0,20.0,,,5.0
116,Mouse 9,SKF,1.46,,,,1.0,1.0,0.0
117,Mouse 9,SKF,1.58,,,,0.0,7.0,5.0
118,Mouse 10,Quinpirole,0.94,0.0,0.0,0.0,,,0.0
119,Mouse 10,Quinpirole,1.06,0.0,0.0,0.0,,,0.0
120,Mouse 10,Quinpirole,1.06,0.0,1.0,0.0,,,3.0
121,Mouse 10,Quinpirole,1.06,,,,,,
122,Mouse 10,Quinpirole,1.46,,,,5.0,2.0,2.0
123,Mouse 10,Quinpirole,1.58,,,,9.0,19.0,6.0
124,Mouse 10,Quinpirole,1.22,,,,6.0,12.0,0.0
125,Mouse 11,Quinpirole,0.94,0.0,1.0,0.0,,,1.0
126,Mouse 11,Quinpirole,1.22,,,,,,
127,Mouse 11,Quinpirole,1.34,,,,3.0,19.0,1.0
128,Mouse 11,Quinpirole,1.58,,,,8.0,24.0,5.0
129,Mouse 11,Quinpirole,1.46,,,,,,
130,Mouse 12,Vehicle,0.94,0.0,0.0,0.0,,,1.0
131,Mouse 12,Vehicle,0.82,0.0,0.0,0.0,,,1.0
132,Mouse 12,Vehicle,1.06,0.0,0.0,0.0,,,0.0
133,Mouse 12,Vehicle,1.06,0.0,1.0,0.0,,,1.0
134,Mouse 12,Vehicle,1.46,,,,0.0,1.0,0.0
135,Mouse 12,Vehicle,1.46,,,,1.0,0.0,0.0
136,Mouse 12,Vehicle,1.22,,,,,,
137,Mouse 13,Vehicle,1.06,0.0,0.0,0.0,,,1.0
138,Mouse 13,Vehicle,1.22,,,,,,
139,Mouse 13,Vehicle,1.46,,,,0.0,0.0,0.0
140,Mouse 13,Vehicle,1.58,,,,0.0,0.0,0.0
141,Mouse 13,Vehicle,1.34,,,,1.0,1.0,0.0
142,Mouse 14,SKF,1.06,0.0,9.0,13.0,,,0.0
143,Mouse 14,SKF,0.94,2.0,2.0,32.0,,,12.0
144,Mouse 14,SKF,1.22,,,,,,
145,Mouse 14,SKF,1.06,2.0,5.0,18.0,,,3.0
146,Mouse 14,SKF,1.46,,,,3.0,2.0,2.0
147,Mouse 14,SKF,1.46,,,,3.0,3.0,4.0
148,Mouse 14,SKF,1.58,,,,6.0,7.0,2.0
149,Mouse 14,SKF,1.58,,,,8.0,7.0,2.0
150,Mouse 14,SKF,0.82,,,,,,
151,Mouse 14,SKF,0.82,,,,,,
152,Mouse 15,SKF,0.94,0.0,5.0,6.0,,,3.0
153,Mouse 15,SKF,0.82,0.0,1.0,5.0,,,1.0
154,Mouse 15,SKF,1.06,,,,,,
155,Mouse 15,SKF,1.06,0.0,0.0,20.0,,,2.0
156,Mouse 15,SKF,1.46,,,,1.0,8.0,0.0
157,Mouse 15,SKF,1.58,,,,4.0,3.0,0.0
165,Mouse 16,Haloperidol,0.94,17.0,1.0,0.0,,,1.0
166,Mouse 16,Haloperidol,1.06,13.0,0.0,0.0,,,3.0
167,Mouse 16,Haloperidol,0.94,16.0,2.0,0.0,,,0.0
168,Mouse 16,Haloperidol,1.06,8.0,4.0,0.0,,,0.0
169,Mouse 16,Haloperidol,1.34,,,,1.0,3.0,0.0
170,Mouse 16,Haloperidol,1.46,,,,1.0,0.0,1.0
171,Mouse 16,Haloperidol,1.58,,,,,,
172,Mouse 17,Vehicle,0.94,1.0,0.0,0.0,,,3.0
173,Mouse 17,Vehicle,1.06,1.0,0.0,0.0,,,3.0
174,Mouse 17,Vehicle,1.06,0.0,1.0,0.0,,,2.0
175,Mouse 17,Vehicle,1.22,,,,,,
176,Mouse 17,Vehicle,1.58,,,,1.0,2.0,7.0
177,Mouse 17,Vehicle,1.58,,,,2.0,2.0,9.0
178,Mouse 17,Vehicle,1.46,,,,2.0,2.0,2.0
179,Mouse 17,Vehicle,1.58,,,,,,
